Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
NA	NA	NA	MAML1	NA	NA	NA	NA	NA	NA	TGM2	NA	NA	THY1
NA	NA	NA	ZEB2	NA	NA	NA	NA	NA	NA	TIMP1	NA	NA	TNFAIP8L1
NA	NA	NA	TSPAN2	NA	NA	NA	NA	NA	NA	TMPRSS4	NA	NA	TOX3
NA	NA	NA	SEC24B	NA	NA	NA	NA	NA	NA	TNFSF11	NA	NA	TRA2A
NA	NA	NA	BATF	NA	NA	NA	NA	NA	NA	TYMP	NA	NA	TSPAN6
NA	NA	NA	ZBTB1	NA	NA	NA	NA	NA	NA	VCAN	NA	NA	UGT8
NA	NA	NA	KDM1A	NA	NA	NA	NA	NA	NA	VEGFA	NA	NA	VEGFA
NA	NA	NA	KDM6B	NA	NA	NA	NA	NA	NA	VEGFC	NA	NA	ZBTB8A
NA	NA	NA	HEY2	NA	NA	NA	NA	NA	NA	VEGFD	NA	NA	ZNF793
NA	NA	NA	SCRIB	NA	NA	NA	NA	NA	NA	VIM	NA	NA	ABCG2
NA	NA	NA	TENM4	NA	NA	NA	NA	NA	NA	WASF3	NA	NA	ALDH1A1
NA	NA	NA	BLOC1S6	NA	NA	NA	NA	NA	NA	YAP1	NA	NA	ALDH1A3
NA	NA	NA	FOXP1	NA	NA	NA	NA	NA	NA	ZEB1	NA	NA	DNER
NA	NA	NA	BMP10	NA	NA	NA	NA	NA	NA	ZEB2	NA	NA	MET
NA	NA	NA	IL20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	CDON	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	WDPCP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	LEF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	IL23A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	CLIC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	DLL4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TMEM100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	MCOLN3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	SOX6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	MESP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	CYP26B1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	FAM20C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	OVOL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	SAV1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	SEMA4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	BCL11B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NKAP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	PDZD7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	WNT5B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	DCSTAMP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	GDPD5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	SLITRK6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	MYLK3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	TMC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	OCSTAMP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	IL31RA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	IL23R	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	GDF7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NKX2-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	STRC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	ARX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	GSX2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	LHFPL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	ATP11C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
